FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-05-13,Buy,COIN,19260Q107,COINBASE GLOBAL INC,56817,0.3001
ARKW,2021-05-13,Buy,PATH,90364P105,UIPATH INC,154642,0.1984
ARKW,2021-05-13,Sell,ADYEY,00783V104,ADYEN NV,35984,0.029
ARKW,2021-05-13,Sell,PINS,72352L106,PINTEREST INC,8000,0.0087
ARKW,2021-05-13,Sell,NVDA,67066G104,NVIDIA CORP,800,0.0086
ARKW,2021-05-13,Sell,NFLX,64110L106,NETFLIX INC,10186,0.0969
ARKW,2021-05-13,Sell,HUBS,443573100,HUBSPOT INC,10504,0.0971
ARKW,2021-05-13,Sell,FSLY,31188V100,FASTLY INC,11000,0.0087
ARKW,2021-05-13,Sell,DOCU,256163106,DOCUSIGN INC,26564,0.0939
ARKW,2021-05-13,Sell,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,2500,0.009
ARKW,2021-05-13,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,21192,0.0994
