FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-04-26,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,76959,0.0334
ARKG,2021-04-26,Buy,MASS,65443P102,908 DEVICES INC,1741,0.0009
ARKG,2021-04-26,Buy,PATH,90364P105,UIPATH INC,64961,0.0523
ARKG,2021-04-26,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,56979,0.0173
ARKG,2021-04-26,Buy,ZY,98985X100,ZYMERGEN INC,21090,0.0091
ARKG,2021-04-26,Sell,PHR,71944F106,PHREESIA INC,30193,0.0161
ARKG,2021-04-26,Sell,PSTG,74624M102,PURE STORAGE INC,248692,0.053
ARKG,2021-04-26,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,10627,0.0005
ARKG,2021-04-26,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,58782,0.0039
