FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-04-26,Buy,PDD,722304102,PINDUODUO INC,82323,0.1653
ARKW,2021-04-26,Buy,COIN,19260Q107,COINBASE GLOBAL INC,76288,0.3282
ARKW,2021-04-26,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,35000,0.0399
ARKW,2021-04-26,Buy,JD,47215P106,JD.COM INC,202300,0.2181
ARKW,2021-04-26,Buy,PATH,90364P105,UIPATH INC,45531,0.0521
ARKW,2021-04-26,Sell,SQ,852234103,SQUARE INC,70959,0.251
ARKW,2021-04-26,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,21044,0.0347
ARKW,2021-04-26,Sell,API,00851L103,AGORA INC,20265,0.0171
ARKW,2021-04-26,Sell,DOCU,256163106,DOCUSIGN INC,40692,0.1341
ARKW,2021-04-26,Sell,TREE,52603B107,LENDINGTREE INC,33372,0.1104
