FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,06/01/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,8915,0.0238
ARKG,06/01/2021,Buy,VEEV,922475108,VEEVA SYSTEMS INC,46386,0.1608
ARKG,06/01/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,340872,0.1031
ARKG,06/01/2021,Buy,SEER,81578P106,SEER INC,145050,0.0499
ARKG,06/01/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,7676,0.003
ARKG,06/01/2021,Buy,MASS,65443P102,908 DEVICES INC,229,0.0001
ARKG,06/01/2021,Buy,CMLF,18978W109,CM LIFE SCIENCES INC,4000,0.0006
ARKG,06/01/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,1800,0.0003
ARKG,06/01/2021,Buy,CDXS,192005106,CODEXIS INC,10000,0.0025
ARKG,06/01/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,21800,0.001
ARKG,06/01/2021,Sell,GH,40131M109,GUARDANT HEALTH INC,22566,0.0327
ARKG,06/01/2021,Sell,TXG,88025U109,10X GENOMICS INC,92442,0.1966
ARKK,06/01/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,69430,0.0355
ARKQ,06/01/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,100000,0.0338
ARKQ,06/01/2021,Buy,ISRG,46120E602,INTUITIVE SURGICAL INC,10422,0.2946
ARKQ,06/01/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,570,0.0005
ARKQ,06/01/2021,Buy,NIU,65481N100,NIU TECHNOLOGIES,6361,0.0073
ARKQ,06/01/2021,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,71584,0.504
ARKQ,06/01/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,8350,0.0029
ARKQ,06/01/2021,Sell,AVAV,8073108,AEROVIRONMENT INC,16756,0.0626
ARKW,06/01/2021,Buy,VUZI,92921W300,VUZIX CORP,271517,0.0886
ARKW,06/01/2021,Sell,PDD,722304102,PINDUODUO INC,31745,0.0761
ARKX,06/01/2021,Buy,NFLX,64110L106,NETFLIX INC,3182,0.2518
ARKX,06/01/2021,Buy,RTP,G7483N129,REINVENT TECHNOLOGY PARTNERS,2400,0.0038
ARKX,06/01/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,12285,0.0871
ARKX,06/01/2021,Sell,TER,880770102,TERADYNE INC,12255,0.2539
