date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/08/2021,ARKW,"TESLA INC",TSLA,88160R101,"628,667","$498,916,417.87",9.72%
10/08/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"7,984,463","$331,754,437.65",6.46%
10/08/2021,ARKW,"TWITTER INC",TWTR,90184L102,"4,591,383","$293,710,770.51",5.72%
10/08/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,127,804","$283,744,208.36",5.53%
10/08/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"1,989,944","$260,284,675.20",5.07%
10/08/2021,ARKW,"ROKU INC",ROKU,77543R102,"726,219","$235,636,278.93",4.59%
10/08/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"1,681,545","$228,807,828.15",4.46%
10/08/2021,ARKW,"SQUARE INC - A",SQ,852234103,"863,989","$215,271,499.24",4.19%
10/08/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"145,847","$203,967,029.50",3.97%
10/08/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"822,988","$193,319,881.20",3.77%
10/08/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"708,248","$181,502,714.96",3.54%
10/08/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"3,601,653","$177,813,608.61",3.46%
10/08/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"544,219","$176,419,473.23",3.44%
10/08/2021,ARKW,"PELOTON INTERACTIVE INC-A",PTON,70614W100,"1,703,617","$149,475,355.58",2.91%
10/08/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"2,456,202","$128,508,488.64",2.50%
10/08/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"5,258,502","$124,784,252.46",2.43%
10/08/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"1,334,380","$124,978,030.80",2.43%
10/08/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"1,281,768","$95,876,246.40",1.87%
10/08/2021,ARKW,"SPLUNK INC",SPLK,848637104,"557,489","$83,667,949.12",1.63%
10/08/2021,ARKW,"ETSY INC",ETSY,29786A106,"357,025","$77,303,053.00",1.51%
10/08/2021,ARKW,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"1,710,217","$71,555,479.28",1.39%
10/08/2021,ARKW,"WALT DISNEY CO/THE",DIS,254687106,"389,487","$69,215,734.77",1.35%
10/08/2021,ARKW,"PAGERDUTY INC",PD,69553P100,"1,664,073","$67,977,382.05",1.32%
