FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,06/23/2021,Buy,1833HK,G71139102,PING AN HEALTHCARE AND TECHNOLOGY CO LTD,973700,0.3045
ARKG,06/23/2021,Buy,QSI,74765K105,QUANTUM-SI INC,271353,0.0319
ARKG,06/23/2021,Sell,TXG,88025U109,10X GENOMICS INC,23829,0.0535
ARKG,06/23/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,49049,0.0022
ARKG,06/23/2021,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,2037,0.0017
ARKG,06/23/2021,Sell,CDNA,14167L103,CAREDX INC,46700,0.0484
ARKQ,06/23/2021,Buy,PATH,90364P105,UIPATH INC,90811,0.2094
ARKQ,06/23/2021,Sell,BYDDY,05606L100,BYD CO LTD,123982,0.2468
ARKQ,06/23/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,26200,0.0089
ARKW,06/23/2021,Sell,PSTG,74624M102,PURE STORAGE INC,60983,0.0207
