date,fund,company,ticker,cusip,market value($),weight(%)
04/19/2022,ARKK,TESLA INC,TSLA,88160R101,1107890547.82,10.55
04/19/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,681144089.12,6.49
04/19/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,679633754.67,6.47
04/19/2022,ARKK,ROKU INC,ROKU,77543R102,677383119.27,6.45
04/19/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,624440288.08,5.95
04/19/2022,ARKK,BLOCK INC,SQ,852234103,611449437.94,5.82
04/19/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,578278878.72,5.51
04/19/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,516216849.60,4.92
04/19/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,432799804.74,4.12
04/19/2022,ARKK,TWILIO INC - A,TWLO,90138F102,413235921.72,3.94
04/19/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,366482443.14,3.49
04/19/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,347704714.50,3.31
04/19/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,335995932.74,3.20
04/19/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,280128569.00,2.67
04/19/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,271140438.30,2.58
04/19/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,237142672.66,2.26
04/19/2022,ARKK,PAGERDUTY INC,PD,69553P100,236077203.00,2.25
04/19/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,224099237.24,2.13
04/19/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,203845564.23,1.94
04/19/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,187001689.60,1.78
04/19/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,167462246.55,1.59
04/19/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,153247540.77,1.46
04/19/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,153666811.65,1.46
04/19/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,125459378.72,1.19
04/19/2022,ARKK,SEA LTD-ADR,SE,81141R100,119300771.76,1.14
04/19/2022,ARKK,VERACYTE INC,VCYT,92337F107,116668438.40,1.11
04/19/2022,ARKK,INVITAE CORP,NVTA,46185L103,107435231.30,1.02
04/19/2022,ARKK,STRATASYS LTD,SSYS,M85548101,105235764.48,1.00
04/19/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,93344805.84,0.89
04/19/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,91029640.92,0.87
04/19/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,71362550.61,0.68
04/19/2022,ARKK,2U INC,TWOU,90214J101,65108066.76,0.62
04/19/2022,ARKK,CERUS CORP,CERS,157085101,48973748.85,0.47
04/19/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,27558655.28,0.26
04/19/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,26408814.20,0.25
04/19/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,15513016.01,0.15
