FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-08-31,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,5886,0.0025
ARKG,2021-08-31,Buy,PSNL,71535D106,PERSONALIS INC,19246,0.0048
ARKG,2021-08-31,Buy,PFE,717081103,PFIZER INC,86248,0.048
ARKG,2021-08-31,Buy,NVTA,46185L103,INVITAE CORP,20319,0.007
ARKG,2021-08-31,Buy,FATE,31189P102,FATE THERAPEUTICS INC,62266,0.0534
ARKG,2021-08-31,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,52716,0.021
ARKG,2021-08-31,Sell,NVS,66987V109,NOVARTIS AG,142994,0.1572
ARKG,2021-08-31,Sell,CLLS,15117K103,CELLECTIS SA,20248,0.0035
ARKG,2021-08-31,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,13833,0.0005
ARKG,2021-08-31,Sell,RHHBY,771195104,ROCHE HOLDING AG,229100,0.1372
