FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-04-21,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,108698,0.0467
ARKG,2021-04-21,Buy,MASS,65443P102,908 DEVICES INC,3359,0.0018
ARKG,2021-04-21,Buy,PATH,90364P105,UIPATH INC,540806,0.3809
ARKG,2021-04-21,Buy,RXRX,75629V104,RECURSION PHARMACEUTICALS INC,710,0.0002
ARKG,2021-04-21,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,47382,0.003
ARKG,2021-04-21,Sell,RHHBY,771195104,ROCHE HOLDING AG,138361,0.062
ARKG,2021-04-21,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,9000,0.0473
ARKG,2021-04-21,Sell,PHR,71944F106,PHREESIA INC,41600,0.0218
ARKG,2021-04-21,Sell,NVS,66987V109,NOVARTIS AG,11038,0.0102
ARKG,2021-04-21,Sell,TMO,883556102,THERMO FISHER SCIENTIFIC INC,12300,0.0614
