date,fund,company,ticker,cusip,market value($),weight(%)
02/28/2022,ARKK,TESLA INC,TSLA,88160R101,1009219500.50,8.41
02/28/2022,ARKK,ROKU INC,ROKU,77543R102,808806661.69,6.74
02/28/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,806247973.08,6.72
02/28/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,743313398.36,6.20
02/28/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,646252075.92,5.39
02/28/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,643075362.21,5.36
02/28/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,596200699.80,4.97
02/28/2022,ARKK,BLOCK INC,SQ,852234103,594037844.64,4.95
02/28/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,565761936.96,4.72
02/28/2022,ARKK,TWILIO INC - A,TWLO,90138F102,508131740.22,4.24
02/28/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,500331428.61,4.17
02/28/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,473439363.98,3.95
02/28/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,465763886.25,3.88
02/28/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,376422163.26,3.14
02/28/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,318907462.20,2.66
02/28/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,315935949.75,2.63
02/28/2022,ARKK,PAGERDUTY INC,PD,69553P100,246761868.24,2.06
02/28/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,213568097.82,1.78
02/28/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,208456725.69,1.74
02/28/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,193855362.75,1.62
02/28/2022,ARKK,INVITAE CORP,NVTA,46185L103,189635574.78,1.58
02/28/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,153820178.19,1.28
02/28/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,153573513.87,1.28
02/28/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,149306157.00,1.24
02/28/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,139845576.00,1.17
02/28/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,139969657.12,1.17
02/28/2022,ARKK,SEA LTD-ADR,SE,81141R100,132518587.92,1.10
02/28/2022,ARKK,VERACYTE INC,VCYT,92337F107,130753606.02,1.09
02/28/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,123849377.48,1.03
02/28/2022,ARKK,STRATASYS LTD,SSYS,M85548101,114787779.60,0.96
02/28/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,78426282.78,0.65
02/28/2022,ARKK,2U INC,TWOU,90214J101,62665269.80,0.52
02/28/2022,ARKK,TRIMBLE INC,TRMB,896239100,60858953.98,0.51
02/28/2022,ARKK,CERUS CORP,CERS,157085101,59029663.74,0.49
02/28/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,35410837.00,0.30
02/28/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,19382759.26,0.16
02/28/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,17645639.54,0.15
