date,fund,company,ticker,cusip,market value($),weight(%)
10/18/2021,ARKK,TESLA INC,TSLA,88160R101,2063310866.82,9.99
10/18/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1280484299.20,6.20
10/18/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1209072444.69,5.86
10/18/2021,ARKK,ROKU INC,ROKU,77543R102,1145090594.20,5.55
10/18/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,1059173529.00,5.13
10/18/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,914715988.00,4.43
10/18/2021,ARKK,SQUARE INC - A,SQ,852234103,804426870.00,3.90
10/18/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,788785172.60,3.82
10/18/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,762734377.80,3.69
10/18/2021,ARKK,TWILIO INC - A,TWLO,90138F102,720748160.28,3.49
10/18/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,666303122.80,3.23
10/18/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,653437381.17,3.16
10/18/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,627753824.12,3.04
10/18/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,581931768.61,2.82
10/18/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,580574197.00,2.81
10/18/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,577263432.00,2.80
10/18/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,528800235.28,2.56
10/18/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,511041949.10,2.47
10/18/2021,ARKK,TWITTER INC,TWTR,90184L102,503919003.71,2.44
10/18/2021,ARKK,INVITAE CORP,NVTA,46185L103,435258780.00,2.11
10/18/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,378446236.52,1.83
10/18/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,324504881.05,1.57
10/18/2021,ARKK,DOCUSIGN INC,DOCU,256163106,311898238.68,1.51
10/18/2021,ARKK,PAGERDUTY INC,PD,69553P100,286683572.92,1.39
10/18/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,275712774.80,1.34
10/18/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,268519777.88,1.30
10/18/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,239057436.63,1.16
10/18/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,236421269.91,1.14
10/18/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,232126814.70,1.12
10/18/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,182061747.80,0.88
10/18/2021,ARKK,2U INC,TWOU,90214J101,177881937.94,0.86
10/18/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,175623960.00,0.85
10/18/2021,ARKK,VERACYTE INC,VCYT,92337F107,171514699.44,0.83
10/18/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,153360247.46,0.74
10/18/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,143949056.85,0.70
10/18/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,120086155.50,0.58
10/18/2021,ARKK,TRIMBLE INC,TRMB,896239100,116508672.60,0.56
10/18/2021,ARKK,STRATASYS LTD,SSYS,M85548101,101492490.00,0.49
10/18/2021,ARKK,SKILLZ INC,SKLZ,83067L109,94790837.61,0.46
10/18/2021,ARKK,CERUS CORP,CERS,157085101,63141655.68,0.31
10/18/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,64709420.55,0.31
10/18/2021,ARKK,PROTO LABS INC,PRLB,743713109,51848242.66,0.25
10/18/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,34521838.32,0.17
10/18/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,27108742.28,0.13
10/18/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,2353002.54,0.01
