date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/06/2021,ARKQ,"TESLA INC",TSLA,88160R101,"344,421","$268,851,588.39",11.01%
10/06/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,"7,975,149","$176,888,804.82",7.24%
10/06/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,"2,125,808","$174,975,256.48",7.17%
10/06/2021,ARKQ,"UIPATH INC - CLASS A",PATH,90364P105,"3,269,374","$167,784,273.68",6.87%
10/06/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,"1,169,260","$149,723,743.00",6.13%
10/06/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"2,909,113","$113,019,040.05",4.63%
10/06/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,"265,627","$92,371,789.25",3.78%
10/06/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,"3,857,071","$90,525,456.37",3.71%
10/06/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,"1,251,773","$89,651,982.26",3.67%
10/06/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,"3,155,960","$82,907,069.20",3.40%
10/06/2021,ARKQ,"DEERE & CO",DE,244199105,"231,201","$78,212,986.29",3.20%
10/06/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,"23,276","$63,393,117.04",2.60%
10/06/2021,ARKQ,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"1,823,790","$63,522,605.70",2.60%
10/06/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,"705,897","$60,410,665.26",2.47%
10/06/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,"2,443,908","$58,604,913.84",2.40%
10/06/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,"700,474","$55,449,521.84",2.27%
10/06/2021,ARKQ,"TERADYNE INC",TER,880770102,"476,986","$52,220,427.28",2.14%
10/06/2021,ARKQ,"MARKFORGED HOLDING CORP",MKFG,57064N102,"8,272,953","$50,465,013.30",2.07%
10/06/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"8,823,213","$48,615,903.63",1.99%
10/06/2021,ARKQ,"BLADE AIR MOBILITY INC",BLDE,092667104,"4,369,255","$44,085,782.95",1.81%
10/06/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,"216,160","$41,610,800.00",1.70%
10/06/2021,ARKQ,"ARCHER AVIATION INC-A",ACHR,03945R102,"5,026,229","$39,305,110.78",1.61%
10/06/2021,ARKQ,"BAIDU INC - SPON ADR",BIDU,056752108,"233,070","$34,913,886.00",1.43%
10/06/2021,ARKQ,"ELBIT SYSTEMS LTD",ESLT,M3760D101,"233,623","$33,858,981.39",1.39%
10/06/2021,ARKQ,"TELEDYNE TECHNOLOGIES INC",TDY,879360105,"72,152","$30,957,537.12",1.27%
10/06/2021,ARKQ,"2U INC",TWOU,90214J101,"816,823","$27,624,953.86",1.13%
10/06/2021,ARKQ,"MATERIALISE NV-ADR",MTLS,57667T100,"1,390,734","$26,590,834.08",1.09%
10/06/2021,ARKQ,"SYNOPSYS INC",SNPS,871607107,"88,107","$25,846,188.45",1.06%
10/06/2021,ARKQ,"VELO3D INC",VLD,92259N104,"3,269,020","$25,759,877.60",1.05%
10/06/2021,ARKQ,"ANSYS INC",ANSS,03662Q105,"72,841","$24,865,003.76",1.02%
10/06/2021,ARKQ,"INTUITIVE SURGICAL INC",ISRG,46120E602,"74,349","$24,540,374.43",1.01%
