date,fund,company,ticker,cusip,market value($),weight(%)
10/04/2021,ARKK,TESLA INC,TSLA,88160R101,1985408189.80,10.14
10/04/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1098634240.02,5.61
10/04/2021,ARKK,ROKU INC,ROKU,77543R102,1097010061.92,5.60
10/04/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1008021110.40,5.15
10/04/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,973069739.30,4.97
10/04/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,888965958.63,4.54
10/04/2021,ARKK,SQUARE INC - A,SQ,852234103,784119590.11,4.01
10/04/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,751627928.35,3.84
10/04/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,733750391.88,3.75
10/04/2021,ARKK,TWILIO INC - A,TWLO,90138F102,653852198.97,3.34
10/04/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,639767004.45,3.27
10/04/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,617683049.28,3.16
10/04/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,614405259.72,3.14
10/04/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,578316071.10,2.95
10/04/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,549533252.48,2.81
10/04/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,544194300.04,2.78
10/04/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,539739234.12,2.76
10/04/2021,ARKK,TWITTER INC,TWTR,90184L102,491721986.82,2.51
10/04/2021,ARKK,INVITAE CORP,NVTA,46185L103,448438479.28,2.29
10/04/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,427966686.70,2.19
10/04/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,363367749.50,1.86
10/04/2021,ARKK,DOCUSIGN INC,DOCU,256163106,325072973.69,1.66
10/04/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,302806574.98,1.55
10/04/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,293253120.00,1.50
10/04/2021,ARKK,PAGERDUTY INC,PD,69553P100,290030457.60,1.48
10/04/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,248115765.50,1.27
10/04/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,234259296.60,1.20
10/04/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,219160797.20,1.12
10/04/2021,ARKK,VERACYTE INC,VCYT,92337F107,172463741.28,0.88
10/04/2021,ARKK,2U INC,TWOU,90214J101,172353215.48,0.88
10/04/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,165686378.50,0.85
10/04/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,159089760.83,0.81
10/04/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,150520923.20,0.77
10/04/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,140864992.00,0.72
10/04/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,135575875.64,0.69
10/04/2021,ARKK,SKILLZ INC,SKLZ,83067L109,116165876.47,0.59
10/04/2021,ARKK,TRIMBLE INC,TRMB,896239100,114067924.88,0.58
10/04/2021,ARKK,PROTO LABS INC,PRLB,743713109,97666014.71,0.50
10/04/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,91494946.58,0.47
10/04/2021,ARKK,STRATASYS LTD,SSYS,M85548101,78543678.18,0.40
10/04/2021,ARKK,CERUS CORP,CERS,157085101,64107163.12,0.33
10/04/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,61935519.10,0.32
10/04/2021,ARKK,SEA LTD-ADR,SE,81141R100,47029645.20,0.24
10/04/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,38921521.35,0.20
10/04/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,32686812.66,0.17
10/04/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,30114208.00,0.15
10/04/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,1884304.70,0.01
10/04/2021,ARKK,TERADYNE INC,TER,880770102,51998.25,0.00
