date,fund,company,ticker,cusip,market value($),weight(%)
11/18/2021,ARKK,TESLA INC,TSLA,88160R101,2165594395.90,10.68
11/18/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1346189075.55,6.64
11/18/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,1247716643.12,6.15
11/18/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,1211039009.60,5.97
11/18/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1016932742.34,5.01
11/18/2021,ARKK,ROKU INC,ROKU,77543R102,998234986.00,4.92
11/18/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,827236539.47,4.08
11/18/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,821744516.25,4.05
11/18/2021,ARKK,SQUARE INC - A,SQ,852234103,726999756.95,3.58
11/18/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,717919973.40,3.54
11/18/2021,ARKK,TWILIO INC - A,TWLO,90138F102,716566717.50,3.53
11/18/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,638300333.88,3.15
11/18/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,630888249.60,3.11
11/18/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,564746704.86,2.78
11/18/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,509003244.36,2.51
11/18/2021,ARKK,TWITTER INC,TWTR,90184L102,502418071.89,2.48
11/18/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,500057743.68,2.47
11/18/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,465946042.10,2.30
11/18/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,331507276.10,1.63
11/18/2021,ARKK,INVITAE CORP,NVTA,46185L103,329477239.28,1.62
11/18/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,324892179.12,1.60
11/18/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,320773574.80,1.58
11/18/2021,ARKK,DOCUSIGN INC,DOCU,256163106,310463692.56,1.53
11/18/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,284286411.20,1.40
11/18/2021,ARKK,PAGERDUTY INC,PD,69553P100,277175638.32,1.37
11/18/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,274974009.71,1.36
11/18/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,272041306.20,1.34
11/18/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,264755949.66,1.31
11/18/2021,ARKK,VERACYTE INC,VCYT,92337F107,185797121.28,0.92
11/18/2021,ARKK,SKILLZ INC,SKLZ,83067L109,175372500.48,0.86
11/18/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,175280608.30,0.86
11/18/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,153380484.56,0.76
11/18/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,144074392.00,0.71
11/18/2021,ARKK,2U INC,TWOU,90214J101,135779326.65,0.67
11/18/2021,ARKK,TRIMBLE INC,TRMB,896239100,118037475.00,0.58
11/18/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,112624709.12,0.56
11/18/2021,ARKK,STRATASYS LTD,SSYS,M85548101,110078178.84,0.54
11/18/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,101965486.80,0.50
11/18/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,77449271.50,0.38
11/18/2021,ARKK,CERUS CORP,CERS,157085101,73000733.22,0.36
11/18/2021,ARKK,3D SYSTEMS CORP,DDD,88554D205,52052709.15,0.26
11/18/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,47012428.71,0.23
11/18/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,25919917.92,0.13
11/18/2021,ARKK,PROTO LABS INC,PRLB,743713109,274621.12,0.00
11/18/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,49911.84,0.00
