FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,06/22/2021,Buy,1833HK,G71139102,PING AN HEALTHCARE AND TECHNOLOGY CO LTD,603800,0.1838
ARKF,06/22/2021,Buy,BEKE,482497104,KE HOLDINGS INC,124857,0.1621
ARKG,06/22/2021,Buy,QSI,74765K105,QUANTUM-SI INC,18700,0.0021
ARKG,06/22/2021,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,9671,0.0081
ARKG,06/22/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,5300,0.0002
ARKG,06/22/2021,Sell,CDNA,14167L103,CAREDX INC,316,0.0003
ARKK,06/22/2021,Buy,COIN,19260Q107,COINBASE GLOBAL INC,214718,0.2066
ARKQ,06/22/2021,Buy,BLDE,92667104,BLADE AIR MOBILITY INC,116164,0.0422
ARKQ,06/22/2021,Buy,PATH,90364P105,UIPATH INC,121171,0.2884
ARKQ,06/22/2021,Buy,JD,47215P106,JD.COM INC,12030,0.0297
ARKQ,06/22/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,907,0.0003
ARKQ,06/22/2021,Sell,BYDDY,05606L100,BYD CO LTD,71600,0.1403
ARKW,06/22/2021,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,1046002,0.5062
ARKW,06/22/2021,Buy,SPLK,848637104,SPLUNK INC,192914,0.4622
ARKW,06/22/2021,Sell,PSTG,74624M102,PURE STORAGE INC,1154405,0.3828
ARKW,06/22/2021,Sell,SE,81141R100,SEA LTD,62111,0.3038
ARKW,06/22/2021,Sell,SQ,852234103,SQUARE INC,73558,0.2996
ARKX,06/22/2021,Buy,2618HK,G5074S101,JD LOGISTICS INC,583137,0.5042
ARKX,06/22/2021,Buy,3690HK,G59669104,MEITUAN,40013,0.2525
