FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-08-23,Buy,AVAV,008073108,AEROVIRONMENT INC,9878,0.0381
ARKQ,2021-08-23,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,17667,0.0067
ARKQ,2021-08-23,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,263485,0.2453
ARKQ,2021-08-23,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,135740,0.0424
ARKQ,2021-08-23,Buy,LMT,539830109,LOCKHEED MARTIN CORP,19077,0.2611
ARKQ,2021-08-23,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,44150,0.0381
ARKQ,2021-08-23,Buy,KMTUY,500458401,KOMATSU LTD,15003,0.0138
ARKQ,2021-08-23,Buy,JD,47215P106,JD.COM INC,164889,0.4145
ARKQ,2021-08-23,Buy,DDD,88554D205,3D SYSTEMS CORP,97891,0.109
ARKQ,2021-08-23,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,2300,0.0006
ARKQ,2021-08-23,Sell,GOOG,02079K107,ALPHABET INC,9464,1.0238
ARKQ,2021-08-23,Sell,TDY,879360105,TELEDYNE TECHNOLOGIES INC,8605,0.1501
ARKQ,2021-08-23,Sell,XONE,302104104,EXONE CO/THE,104600,0.0942
