FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-05-24,Buy,VUZI,92921W300,VUZIX CORP,2634,0.0008
ARKW,2021-05-24,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,516001,0.3049
ARKW,2021-05-24,Buy,TWTR,90184L102,TWITTER INC,4460,0.0046
ARKW,2021-05-24,Sell,TREE,52603B107,LENDINGTREE INC,1889,0.0068
ARKW,2021-05-24,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,18,0
ARKW,2021-05-24,Sell,PINS,72352L106,PINTEREST INC,6,0
ARKW,2021-05-24,Sell,PDD,722304102,PINDUODUO INC,32396,0.0776
ARKW,2021-05-24,Sell,JD,47215P106,JD.COM INC,94201,0.1235
ARKW,2021-05-24,Sell,HUBS,443573100,HUBSPOT INC,541,0.005
ARKW,2021-05-24,Sell,API,00851L103,AGORA INC,1905,0.0014
