FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-06-16,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,41896,0.0161
ARKQ,2021-06-16,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,60000,0.0803
ARKQ,2021-06-16,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,51095,0.0463
ARKQ,2021-06-16,Buy,PATH,90364P105,UIPATH INC,23743,0.0558
ARKQ,2021-06-16,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,325800,0.1124
ARKQ,2021-06-16,Sell,NVDA,67066G104,NVIDIA CORP,4050,0.0997
ARKQ,2021-06-16,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,12814,0.0189
ARKQ,2021-06-16,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,36315,0.0966
