date,fund,company,ticker,cusip,market value($),weight(%)
10/08/2021,ARKW,TESLA INC,TSLA,88160R101,498916417.87,9.72
10/08/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,331754437.65,6.46
10/08/2021,ARKW,TWITTER INC,TWTR,90184L102,293710770.51,5.72
10/08/2021,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,283744208.36,5.53
10/08/2021,ARKW,TELADOC HEALTH INC,TDOC,87918A105,260284675.20,5.07
10/08/2021,ARKW,ROKU INC,ROKU,77543R102,235636278.93,4.59
10/08/2021,ARKW,UNITY SOFTWARE INC,U,91332U101,228807828.15,4.46
10/08/2021,ARKW,SQUARE INC - A,SQ,852234103,215271499.24,4.19
10/08/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,203967029.50,3.97
10/08/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,193319881.20,3.77
10/08/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,181502714.96,3.54
10/08/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,26142R104,177813608.61,3.46
10/08/2021,ARKW,TWILIO INC - A,TWLO,90138F102,176419473.23,3.44
10/08/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,70614W100,149475355.58,2.91
10/08/2021,ARKW,UIPATH INC - CLASS A,PATH,90364P105,128508488.64,2.50
10/08/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,124784252.46,2.43
10/08/2021,ARKW,ZILLOW GROUP INC - C,Z,98954M200,124978030.80,2.43
10/08/2021,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,95876246.40,1.87
10/08/2021,ARKW,SPLUNK INC,SPLK,848637104,83667949.12,1.63
10/08/2021,ARKW,ETSY INC,ETSY,29786A106,77303053.00,1.51
10/08/2021,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,71555479.28,1.39
10/08/2021,ARKW,WALT DISNEY CO/THE,DIS,254687106,69215734.77,1.35
10/08/2021,ARKW,PAGERDUTY INC,PD,69553P100,67977382.05,1.32
10/08/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,63179817.12,1.23
10/08/2021,ARKW,SEA LTD-ADR,SE,81141R100,58563765.25,1.14
10/08/2021,ARKW,LIVEPERSON INC,LPSN,538146101,56451288.16,1.10
10/08/2021,ARKW,DOCUSIGN INC,DOCU,256163106,55686410.11,1.08
10/08/2021,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,54013560.48,1.05
10/08/2021,ARKW,SKILLZ INC,SKLZ,83067L109,52929018.00,1.03
10/08/2021,ARKW,OKTA INC,OKTA,679295105,52152725.48,1.02
10/08/2021,ARKW,VUZIX CORP,VUZI,92921W300,52352620.01,1.02
10/08/2021,ARKW,FARFETCH LTD-CLASS A,FTCH,30744W107,51406297.85,1.00
10/08/2021,ARKW,VERACYTE INC,VCYT,92337F107,49893888.66,0.97
10/08/2021,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,482505104,47055664.76,0.92
10/08/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,44620656.00,0.87
10/08/2021,ARKW,MERCADOLIBRE INC,MELI,58733R102,43531768.48,0.85
10/08/2021,ARKW,2U INC,TWOU,90214J101,42453547.99,0.83
10/08/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,63008G203,37896818.00,0.74
10/08/2021,ARKW,SNAP INC - A,SNAP,83304A106,36323696.92,0.71
10/08/2021,ARKW,CONCORD ACQUISITION CORP -A,CND,206071102,28424766.75,0.55
10/08/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,18129707.22,0.35
10/08/2021,ARKW,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,13922936.95,0.27
10/08/2021,ARKW,LENDINGCLUB CORP,LC,52603A208,17594.28,0.00
10/08/2021,ARKW,SNOWFLAKE INC-CLASS A,SNOW,833445109,31364.90,0.00
