date,fund,company,ticker,cusip,"market value ($)","weight (%)"
10/04/2021,IZRL,"MONDAY.COM LTD",MNDY,M7S64H106,"$5,590,224.72",2.16%
10/04/2021,IZRL,"INMODE LTD",INMD,M5425M103,"$5,402,407.75",2.09%
10/04/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,"$4,872,178.32",1.88%
10/04/2021,IZRL,"NAYAX LTD",NYAX,BMXT7N9,"$4,838,356.39",1.87%
10/04/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,"$4,433,581.92",1.71%
10/04/2021,IZRL,"PRIORTECH LTD",PRTC,6677776,"$4,435,148.34",1.71%
10/04/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,"$4,307,539.47",1.66%
10/04/2021,IZRL,"PLAYTIKA HOLDING CORP",PLTK,72815L107,"$4,275,494.59",1.65%
10/04/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,"$4,191,554.29",1.62%
10/04/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,"$4,164,639.37",1.61%
10/04/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,"$4,137,301.01",1.60%
10/04/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,"$4,145,587.65",1.60%
10/04/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,"$4,092,652.34",1.58%
10/04/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,"$4,104,024.99",1.58%
10/04/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,"$4,078,905.48",1.57%
10/04/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,"$4,032,821.65",1.56%
10/04/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,"$4,019,384.61",1.55%
10/04/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,"$3,978,557.68",1.54%
10/04/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,"$3,963,427.80",1.53%
10/04/2021,IZRL,"RADWARE LTD",RDWR,M81873107,"$3,903,513.57",1.51%
10/04/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,"$3,887,754.75",1.50%
10/04/2021,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,"$3,885,441.70",1.50%
10/04/2021,IZRL,"HILAN LTD",HLAN,6267230,"$3,852,139.95",1.49%
10/04/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,"$3,838,608.00",1.48%
10/04/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,"$3,824,836.43",1.48%
10/04/2021,IZRL,"NOVA LTD",NVMI,M7516K103,"$3,844,925.60",1.48%
10/04/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,"$3,692,283.84",1.43%
10/04/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,"$3,712,379.37",1.43%
10/04/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,"$3,679,366.32",1.42%
10/04/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,"$3,649,009.29",1.41%
10/04/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,"$3,626,858.70",1.40%
10/04/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,"$3,599,026.20",1.39%
10/04/2021,IZRL,"E & M COMPUTING",EMCO,6302216,"$3,528,927.60",1.36%
10/04/2021,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,"$3,529,411.06",1.36%
10/04/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,"$3,508,527.30",1.35%
10/04/2021,IZRL,"SILICOM LTD",SILC,M84116108,"$3,456,868.78",1.33%
10/04/2021,IZRL,"KAMADA LTD",KMDA,B0L2CR5,"$3,416,306.42",1.32%
10/04/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,"$3,394,781.28",1.31%
10/04/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,"$3,368,947.29",1.30%
