FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-07-27,Buy,Z,98954M200,ZILLOW GROUP INC,89140,0.2508
ARKF,2021-07-27,Buy,TDOC,87918A105,TELADOC HEALTH INC,89815,0.3499
ARKF,2021-07-27,Buy,STNE,G85158106,STONECO LTD,279180,0.4057
ARKF,2021-07-27,Buy,SHOP,82509L107,SHOPIFY INC,6000,0.2443
ARKF,2021-07-27,Buy,PATH,90364P105,UIPATH INC,340424,0.5375
ARKF,2021-07-27,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,1104611,0.4067
ARKF,2021-07-27,Buy,MELI,58733R102,MERCADOLIBRE INC,5900,0.244
ARKF,2021-07-27,Buy,FTCH,30744W107,FARFETCH LTD,330399,0.4032
ARKF,2021-07-27,Sell,PDD,722304102,PINDUODUO INC,182575,0.4078
ARKF,2021-07-27,Sell,JD,47215P106,JD.COM INC,259873,0.4325
ARKF,2021-07-27,Sell,3690HK,G59669104,MEITUAN,1257639,0.9672
ARKF,2021-07-27,Sell,WDAY,98138H101,WORKDAY INC,81618,0.487
ARKF,2021-07-27,Sell,1833HK,G71139102,PING AN HEALTHCARE AND TECHNOLOGY CO LTD,2097800,0.4827
