FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-07-28,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,78902,0.1179
ARKQ,2021-07-28,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,167564,0.2527
ARKQ,2021-07-28,Buy,U,91332U101,UNITY SOFTWARE INC,71651,0.2716
ARKQ,2021-07-28,Sell,BYDDY,05606L100,BYD CO LTD,55570,0.1141
ARKQ,2021-07-28,Sell,BZ,48553T106,KANZHUN LTD,157056,0.1819
ARKQ,2021-07-28,Sell,JD,47215P106,JD.COM INC,524682,1.3241
ARKQ,2021-07-28,Sell,PCAR,693718108,PACCAR INC,114874,0.3499
