FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-08-02,Buy,AVAV,008073108,AEROVIRONMENT INC,15267,0.0552
ARKQ,2021-08-02,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,74000,0.0262
ARKQ,2021-08-02,Buy,PATH,90364P105,UIPATH INC,283325,0.6087
ARKQ,2021-08-02,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,18200,0.0068
ARKQ,2021-08-02,Buy,LMT,539830109,LOCKHEED MARTIN CORP,57202,0.7585
ARKQ,2021-08-02,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,202159,0.3048
ARKQ,2021-08-02,Buy,U,91332U101,UNITY SOFTWARE INC,166740,0.6355
ARKQ,2021-08-02,Sell,JD,47215P106,JD.COM INC,132695,0.34
ARKQ,2021-08-02,Sell,BZ,48553T106,KANZHUN LTD,296,0.0004
ARKQ,2021-08-02,Sell,PCAR,693718108,PACCAR INC,5713,0.017
ARKQ,2021-08-02,Sell,BYDDY,05606L100,BYD CO LTD,42446,0.1002
ARKQ,2021-08-02,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,11344,0.0248
