date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/13/2021,IZRL,"MONDAY.COM LTD",MNDY,M7S64H106,"16,792","$5,948,901.84",2.30%
10/13/2021,IZRL,"INMODE LTD",INMD,M5425M103,"68,515","$5,168,771.60",1.99%
10/13/2021,IZRL,"NAYAX LTD",NYAX,BMXT7N9,"1,212,606","$4,809,308.54",1.86%
10/13/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,"68,773","$4,727,558.66",1.82%
10/13/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,"30,417","$4,547,341.50",1.75%
10/13/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,"139,022","$4,482,069.28",1.73%
10/13/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,"25,983","$4,380,473.97",1.69%
10/13/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,"14,565","$4,346,341.65",1.68%
10/13/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,"209,306","$4,313,164.42",1.66%
10/13/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,"184,460","$4,270,245.58",1.65%
10/13/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,"453,903","$4,216,758.87",1.63%
10/13/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,"195,135","$4,205,159.25",1.62%
10/13/2021,IZRL,"PRIORTECH LTD",PRTC,6677776,"136,471","$4,176,796.20",1.61%
10/13/2021,IZRL,"PLAYTIKA HOLDING CORP",PLTK,72815L107,"154,183","$4,178,359.30",1.61%
10/13/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,"3,454,955","$4,100,113.66",1.58%
10/13/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,"242,089","$4,100,987.66",1.58%
10/13/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,"278,701","$4,009,279.95",1.55%
10/13/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,"27,522","$4,001,775.77",1.54%
10/13/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,"102,709","$3,985,109.20",1.54%
10/13/2021,IZRL,"TEVA PHARMACEUTICAL-SP ADR",TEVA,881624209,"400,561","$3,937,514.63",1.52%
10/13/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,"36,935","$3,887,293.34",1.50%
10/13/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,"143,334","$3,882,918.06",1.50%
10/13/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,"833,961","$3,885,488.39",1.50%
10/13/2021,IZRL,"RADWARE LTD",RDWR,M81873107,"114,843","$3,799,006.44",1.47%
10/13/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,"132,442","$3,774,597.00",1.46%
10/13/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,"236,106","$3,714,995.41",1.43%
10/13/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,"110,105","$3,685,214.35",1.42%
10/13/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,"467,406","$3,692,507.40",1.42%
10/13/2021,IZRL,"NOVA LTD",NVMI,M7516K103,"37,402","$3,692,325.44",1.42%
10/13/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,"13,800","$3,673,560.00",1.42%
10/13/2021,IZRL,"HILAN LTD",HLAN,6267230,"68,058","$3,674,087.67",1.42%
10/13/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,"138,788","$3,628,135.75",1.40%
10/13/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,"112,462","$3,580,107.60",1.38%
10/13/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,"3,038,164","$3,552,858.53",1.37%
10/13/2021,IZRL,"E & M COMPUTING",EMCO,6302216,"599,433","$3,488,223.84",1.35%
10/13/2021,IZRL,"SILICOM LTD",SILC,M84116108,"85,949","$3,505,859.71",1.35%
10/13/2021,IZRL,"TUFIN SOFTWARE TECHNOLOGIES",TUFN,M8893U102,"341,347","$3,451,018.17",1.33%
