FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-04-19,Buy,DDD,88554D205,3D SYSTEMS CORP,616908,0.3482
ARKQ,2021-04-19,Buy,JD,47215P106,JD.COM INC,173597,0.4021
ARKQ,2021-04-19,Buy,NIU,65481N100,NIU TECHNOLOGIES,30570,0.0308
ARKQ,2021-04-19,Buy,NNDM,63008G203,NANO DIMENSION LTD,503462,0.1005
ARKQ,2021-04-19,Buy,WKHS,98138J206,WORKHORSE GROUP INC,496057,0.1866
ARKQ,2021-04-19,Buy,U,91332U101,UNITY SOFTWARE INC,44100,0.1313
ARKQ,2021-04-19,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,55669,0.017
ARKQ,2021-04-19,Sell,AVAV,008073108,AEROVIRONMENT INC,11907,0.0377
ARKQ,2021-04-19,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,66167,0.2296
ARKQ,2021-04-19,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,315600,0.2082
ARKQ,2021-04-19,Sell,NVDA,67066G104,NVIDIA CORP,26300,0.4858
ARKQ,2021-04-19,Sell,XLNX,983919101,XILINX INC,108067,0.4097
