FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKX,2021-04-19,Buy,JD,47215P106,JD.COM INC,44313,0.4971
ARKX,2021-04-19,Buy,NFLX,64110L106,NETFLIX INC,2490,0.1997
ARKX,2021-04-19,Buy,RTP,G7483N129,REINVENT TECHNOLOGY PARTNERS,75800,0.1105
ARKX,2021-04-19,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,134984,0.2002
ARKX,2021-04-19,Buy,WKHS,98138J206,WORKHORSE GROUP INC,231451,0.4022
ARKX,2021-04-19,Sell,ACIC,049284102,ATLAS CREST INVESTMENT CORP,208462,0.3009
ARKX,2021-04-19,Sell,NVDA,67066G104,NVIDIA CORP,9901,0.894
ARKX,2021-04-19,Sell,SPCE,92766K106,VIRGIN GALACTIC HOLDINGS INC,275204,0.8771
