FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-08-09,Buy,ADPT,00650F109,ADAPTIVE BIOTECHNOLOGIES CORP,232610,0.0923
ARKG,2021-08-09,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,30490,0.0096
ARKG,2021-08-09,Buy,SRNG,G8354H126,SOARING EAGLE ACQUISITION CORP,4512926,0.51
ARKG,2021-08-09,Sell,CLLS,15117K103,CELLECTIS SA,57671,0.0096
ARKG,2021-08-09,Sell,NVS,66987V109,NOVARTIS AG,100687,0.1045
ARKG,2021-08-09,Sell,PSTG,74624M102,PURE STORAGE INC,876040,0.199
ARKG,2021-08-09,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,19893,0.0007
ARKG,2021-08-09,Sell,RHHBY,771195104,ROCHE HOLDING AG,154558,0.0858
ARKG,2021-08-09,Sell,SEER,81578P106,SEER INC,306616,0.1091
