FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-04-20,Buy,DDD,88554D205,3D SYSTEMS CORP,369200,0.2164
ARKQ,2021-04-20,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,129469,0.144
ARKQ,2021-04-20,Buy,NIU,65481N100,NIU TECHNOLOGIES,60394,0.063
ARKQ,2021-04-20,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,393895,0.1217
ARKQ,2021-04-20,Buy,WKHS,98138J206,WORKHORSE GROUP INC,318467,0.1227
ARKQ,2021-04-20,Sell,NVDA,67066G104,NVIDIA CORP,12638,0.2322
ARKQ,2021-04-20,Sell,TSM,874039100,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,63323,0.2226
ARKQ,2021-04-20,Sell,XLNX,983919101,XILINX INC,81500,0.3095
