FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-05-04,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,103836,0.035
ARKK,2021-05-04,Buy,TDOC,87918A105,TELADOC HEALTH INC,143204,0.1045
ARKK,2021-05-04,Buy,SKLZ,83067L109,SKILLZ INC,2717021,0.2122
ARKK,2021-05-04,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,1514080,0.1512
ARKK,2021-05-04,Buy,TWLO,90138F102,TWILIO INC,118513,0.1871
ARKK,2021-05-04,Buy,PATH,90364P105,UIPATH INC,200133,0.0672
ARKK,2021-05-04,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,125700,0.0216
ARKK,2021-05-04,Buy,DKNG,26142R104,DRAFTKINGS INC,576603,0.1476
ARKK,2021-05-04,Buy,COIN,19260Q107,COINBASE GLOBAL INC,192374,0.253
ARKK,2021-05-04,Buy,BLI,084310101,BERKELEY LIGHTS INC,17565,0.0039
ARKK,2021-05-04,Sell,EXAS,30063P105,EXACT SCIENCES CORP,187662,0.1012
ARKK,2021-05-04,Sell,TREE,52603B107,LENDINGTREE INC,55962,0.0511
ARKK,2021-05-04,Sell,BIDU,056752108,BAIDU INC,580600,0.5409
ARKK,2021-05-04,Sell,SQ,852234103,SQUARE INC,280691,0.3018
ARKK,2021-05-04,Sell,SNPS,871607107,SYNOPSYS INC,86057,0.0947
ARKK,2021-05-04,Sell,PSTG,74624M102,PURE STORAGE INC,402220,0.0353
ARKK,2021-05-04,Sell,PCAR,693718108,PACCAR INC,123637,0.0518
