date,fund,company,ticker,cusip,market value($),weight(%)
12/22/2021,ARKK,TESLA INC,TSLA,88160R101,1232973139.84,7.21
12/22/2021,ARKK,ROKU INC,ROKU,77543R102,1042876927.40,6.10
12/22/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,1024745252.73,5.99
12/22/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,1012043338.28,5.92
12/22/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,816147714.53,4.77
12/22/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,802755570.72,4.69
12/22/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,722813144.97,4.23
12/22/2021,ARKK,TWILIO INC - A,TWLO,90138F102,706724208.96,4.13
12/22/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,670743828.00,3.92
12/22/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,637236887.45,3.73
12/22/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,614407380.39,3.59
12/22/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,596771962.15,3.49
12/22/2021,ARKK,BLOCK INC,SQ,852234103,575612581.87,3.37
12/22/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,518353437.25,3.03
12/22/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,487244827.44,2.85
12/22/2021,ARKK,TWITTER INC,TWTR,90184L102,470115923.84,2.75
12/22/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,444244915.80,2.60
12/22/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,381425290.80,2.23
12/22/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,374649119.18,2.19
12/22/2021,ARKK,INVITAE CORP,NVTA,46185L103,291438079.64,1.70
12/22/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,286685804.34,1.68
12/22/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,275296777.86,1.61
12/22/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,272883483.60,1.60
12/22/2021,ARKK,PAGERDUTY INC,PD,69553P100,261327505.74,1.53
12/22/2021,ARKK,DOCUSIGN INC,DOCU,256163106,252511702.40,1.48
12/22/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,253752068.40,1.48
12/22/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,240352203.42,1.41
12/22/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,238540392.75,1.39
12/22/2021,ARKK,VERACYTE INC,VCYT,92337F107,191479701.20,1.12
12/22/2021,ARKK,TRIMBLE INC,TRMB,896239100,181575610.20,1.06
12/22/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,159755439.24,0.93
12/22/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,147841773.40,0.86
12/22/2021,ARKK,SKILLZ INC,SKLZ,83067L109,142966428.77,0.84
12/22/2021,ARKK,2U INC,TWOU,90214J101,121084840.14,0.71
12/22/2021,ARKK,STRATASYS LTD,SSYS,M85548101,99265737.56,0.58
12/22/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,96840138.00,0.57
12/22/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,95853581.60,0.56
12/22/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,85284002.70,0.50
12/22/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,81507453.30,0.48
12/22/2021,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,72462599.88,0.42
12/22/2021,ARKK,CERUS CORP,CERS,157085101,68508661.29,0.40
12/22/2021,ARKK,3D SYSTEMS CORP,DDD,88554D205,29004896.35,0.17
12/22/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,23446284.45,0.14
12/22/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1682348.02,0.01
