FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-06-08,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,21930,0.0198
ARKQ,2021-06-08,Buy,TRMB,896239100,TRIMBLE INC,189913,0.504
ARKQ,2021-06-08,Buy,U,91332U101,UNITY SOFTWARE INC,59183,0.1967
ARKQ,2021-06-08,Sell,DDD,88554D205,3D SYSTEMS CORP,170407,0.1801
ARKQ,2021-06-08,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,11228,0.0038
ARKQ,2021-06-08,Sell,MGA,559222401,MAGNA INTERNATIONAL INC,66300,0.223
ARKQ,2021-06-08,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,31800,0.2141
ARKQ,2021-06-08,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,9987,0.0154
