FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-09-02,Buy,DSYSJ,S2192Y109,DISCOVERY LTD,190780,0.04
ARKF,2021-09-02,Buy,JD,47215P106,JD.COM INC,127852,0.27
ARKF,2021-09-02,Buy,PDD,722304102,PINDUODUO INC,38160,0.1
ARKF,2021-09-02,Buy,TDOC,87918A105,TELADOC HEALTH INC,17173,0.07
ARKF,2021-09-02,Buy,Z,98954M200,ZILLOW GROUP INC,37782,0.1
ARKF,2021-09-02,Sell,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,1036400,0.14
ARKF,2021-09-02,Sell,9923HK,G9835C108,YEAHKA LTD,656800,0.08
ARKF,2021-09-02,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,180,0
ARKF,2021-09-02,Sell,HDB,40415F101,HDFC BANK LTD,127637,0.27
