FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-07-12,Buy,CND,206071102,CONCORD ACQUISITION CORP,3800,0.0007
ARKW,2021-07-12,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,9058,0.0395
ARKW,2021-07-12,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,48400,0.3052
ARKW,2021-07-12,Buy,KVSB,482505104,KHOSLA VENTURES ACQUISITION CO II,110200,0.0192
ARKW,2021-07-12,Buy,DKNG,26142R104,DRAFTKINGS INC,137133,0.1114
ARKW,2021-07-12,Buy,COIN,19260Q107,COINBASE GLOBAL INC,22406,0.0917
ARKW,2021-07-12,Sell,HUYA,44852D108,HUYA INC,656488,0.1617
ARKW,2021-07-12,Sell,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,198519,0.054
ARKW,2021-07-12,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,43302,0.2168
ARKW,2021-07-12,Sell,ROKU,77543R102,ROKU INC,20600,0.1476
ARKW,2021-07-12,Sell,LC,52603A208,LENDINGCLUB CORP,140855,0.04
