date,fund,company,ticker,cusip,market value($),weight(%)
04/01/2022,ARKK,TESLA INC,TSLA,88160R101,1179000004.80,9.75
04/01/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,810029715.88,6.70
04/01/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,803460037.15,6.64
04/01/2022,ARKK,ROKU INC,ROKU,77543R102,779910600.99,6.45
04/01/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,748965823.34,6.19
04/01/2022,ARKK,BLOCK INC,SQ,852234103,688772877.60,5.70
04/01/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,591119621.76,4.89
04/01/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,582496435.08,4.82
04/01/2022,ARKK,TWILIO INC - A,TWLO,90138F102,513241578.21,4.24
04/01/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,482224680.36,3.99
04/01/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,426788729.90,3.53
04/01/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,392854016.79,3.25
04/01/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,379429460.85,3.14
04/01/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,348933736.20,2.89
04/01/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,323236636.44,2.67
04/01/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,286563879.69,2.37
04/01/2022,ARKK,PAGERDUTY INC,PD,69553P100,250775444.40,2.07
04/01/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,248532094.58,2.06
04/01/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,242870904.31,2.01
04/01/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,212649592.65,1.76
04/01/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,188003193.12,1.55
04/01/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,185912265.41,1.54
04/01/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,159536109.72,1.32
04/01/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,141003157.98,1.17
04/01/2022,ARKK,INVITAE CORP,NVTA,46185L103,139483416.32,1.15
04/01/2022,ARKK,SEA LTD-ADR,SE,81141R100,136249385.58,1.13
04/01/2022,ARKK,VERACYTE INC,VCYT,92337F107,137151927.60,1.13
04/01/2022,ARKK,STRATASYS LTD,SSYS,M85548101,123494090.93,1.02
04/01/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,114777717.60,0.95
04/01/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,107671897.23,0.89
04/01/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,102555859.60,0.85
04/01/2022,ARKK,2U INC,TWOU,90214J101,77091754.56,0.64
04/01/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,76896919.35,0.64
04/01/2022,ARKK,CERUS CORP,CERS,157085101,57346278.12,0.47
04/01/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,34764778.71,0.29
04/01/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,19277074.18,0.16
