FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-09-01,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,144000,0.0519
ARKQ,2021-09-01,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,14879,0.0053
ARKQ,2021-09-01,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,56216,0.0176
ARKQ,2021-09-01,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,41408,0.0369
ARKQ,2021-09-01,Buy,KMTUY,500458401,KOMATSU LTD,103400,0.0954
ARKQ,2021-09-01,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,36482,0.0114
ARKQ,2021-09-01,Sell,ISRG,46120E602,INTUITIVE SURGICAL INC,2054,0.0781
ARKQ,2021-09-01,Sell,NVDA,67066G104,NVIDIA CORP,15559,0.1264
ARKQ,2021-09-01,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,1376,0.0085
ARKQ,2021-09-01,Sell,XONE,302104104,EXONE CO/THE,1079,0.001
