date,fund,company,ticker,cusip,market value($),weight(%)
10/28/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,582376173.57,8.17
10/28/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,383069151.99,5.37
10/28/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,370328950.61,5.19
10/28/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,265354119.14,3.72
10/28/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,263803707.00,3.70
10/28/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,254766693.50,3.57
10/28/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,252952242.00,3.55
10/28/2021,ARKG,CAREDX INC,CDNA,14167L103,238073245.20,3.34
10/28/2021,ARKG,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,227053934.81,3.18
10/28/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,222659928.00,3.12
10/28/2021,ARKG,ACCOLADE INC,ACCD,00437E102,220833850.77,3.10
10/28/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,208561199.24,2.92
10/28/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,205549079.88,2.88
10/28/2021,ARKG,INCYTE CORP,INCY,45337C102,187399532.97,2.63
10/28/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,180440139.00,2.53
10/28/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,175086436.80,2.46
10/28/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,168250480.60,2.36
10/28/2021,ARKG,CODEXIS INC,CDXS,192005106,163657873.68,2.29
10/28/2021,ARKG,INVITAE CORP,NVTA,46185L103,162704611.16,2.28
10/28/2021,ARKG,UIPATH INC - CLASS A,PATH,90364P105,150828877.88,2.11
10/28/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,147764813.56,2.07
10/28/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,147380428.58,2.07
10/28/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,142924249.77,2.00
10/28/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,129454219.69,1.82
10/28/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,125410181.70,1.76
10/28/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,116916641.19,1.64
10/28/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,100620940.50,1.41
10/28/2021,ARKG,VERACYTE INC,VCYT,92337F107,98826794.17,1.39
10/28/2021,ARKG,PERSONALIS INC,PSNL,71535D106,98169872.00,1.38
10/28/2021,ARKG,PFIZER INC,PFE,717081103,95639360.28,1.34
10/28/2021,ARKG,QUANTUM-SI INC,QSI,74765K105,92905823.04,1.30
10/28/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,90031350.78,1.26
10/28/2021,ARKG,908 DEVICES INC,MASS,65443P102,89476768.00,1.25
10/28/2021,ARKG,SOMALOGIC INC,SLGC,83444K105,89090705.55,1.25
10/28/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,76736572.80,1.08
10/28/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,72914182.60,1.02
10/28/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,69939971.64,0.98
10/28/2021,ARKG,VERVE THERAPEUTICS INC,VERV,92539P101,59151801.99,0.83
10/28/2021,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,49088585.65,0.69
10/28/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,43063764.80,0.60
10/28/2021,ARKG,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,40993348.48,0.57
10/28/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,40041285.72,0.56
10/28/2021,ARKG,ZYMERGEN INC,ZY,98985X100,39019672.64,0.55
10/28/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,38114765.82,0.53
10/28/2021,ARKG,CERUS CORP,CERS,157085101,33234753.16,0.47
10/28/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,30361541.65,0.43
10/28/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,24270645.48,0.34
10/28/2021,ARKG,DYNAMICS SPECIAL PURPOSE C-A,DYNS,268010105,24099568.35,0.34
10/28/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,22278213.72,0.31
10/28/2021,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,10931476.33,0.15
10/28/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,7533146.25,0.11
10/28/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,1464840.99,0.02
10/28/2021,ARKG,CM LIFE SCIENCES II -CW27,SLGCW,83444K113,0.00,0.00
