FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-09-22,Buy,COIN,19260Q107,COINBASE GLOBAL INC,39813,0.045
ARKK,2021-09-22,Buy,TDOC,87918A105,TELADOC HEALTH INC,133063,0.0869
ARKK,2021-09-22,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,972792,0.0994
ARKK,2021-09-22,Buy,PATH,90364P105,UIPATH INC,534573,0.1328
ARKK,2021-09-22,Buy,NVTA,46185L103,INVITAE CORP,135684,0.0203
ARKK,2021-09-22,Buy,DKNG,26142R104,DRAFTKINGS INC,599968,0.149
ARKK,2021-09-22,Buy,TWOU,90214J101,2U INC,113482,0.0186
ARKK,2021-09-22,Sell,NTLA,45826J105,INTELLIA THERAPEUTICS INC,66750,0.047
ARKK,2021-09-22,Sell,NTDOY,654445303,NINTENDO CO LTD,128900,0.0369
ARKK,2021-09-22,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,3951,0.001
ARKK,2021-09-22,Sell,PRLB,743713109,PROTO LABS INC,39453,0.0132
ARKK,2021-09-22,Sell,SE,81141R100,SEA LTD,65913,0.104
ARKK,2021-09-22,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,172348,0.0358
ARKK,2021-09-22,Sell,TER,880770102,TERADYNE INC,373251,0.2058
