FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-05-03,Buy,TWTR,90184L102,TWITTER INC,307022,0.2531
ARKW,2021-05-03,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,45600,0.0564
ARKW,2021-05-03,Buy,FSLY,31188V100,FASTLY INC,158435,0.1543
ARKW,2021-05-03,Buy,RBLX,771049103,ROBLOX CORP,230080,0.2536
ARKW,2021-05-03,Sell,TTD,88339J105,TRADE DESK INC/THE,13772,0.1486
ARKW,2021-05-03,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,4300,0.0073
ARKW,2021-05-03,Sell,ROKU,77543R102,ROKU INC,28811,0.1489
ARKW,2021-05-03,Sell,BIDU,056752108,BAIDU INC,110713,0.3501
ARKW,2021-05-03,Sell,API,00851L103,AGORA INC,1279,0.001
ARKW,2021-05-03,Sell,ADYEY,00783V104,ADYEN NV,44300,0.034
