date,fund,company,ticker,cusip,shares,market value($),weight(%)
7/20/2021,ARKX,TRIMBLE INC,TRMB,896239100,721323.00,56775333.33,9.80
7/20/2021,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,1095858.00,38957751.90,6.73
7/20/2021,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1417778.00,36096627.88,6.23
7/20/2021,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,910271.00,34189778.76,5.90
7/20/2021,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,150416.00,32825283.68,5.67
7/20/2021,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,69691.00,25926445.82,4.48
7/20/2021,ARKX,JD LOGISTICS INC,2618,BNMBPD9,5315408.00,25411137.35,4.39
7/20/2021,ARKX,THALES SA,HO,4162791,241827.00,24135057.51,4.17
7/20/2021,ARKX,KOMATSU LTD,6301,6496584,895688.00,22352321.66,3.86
7/20/2021,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,359535.00,18507567.48,3.20
7/20/2021,ARKX,ALPHABET INC-CL C,GOOG,02079K107,7077.00,18294611.16,3.16
7/20/2021,ARKX,AMAZON.COM INC,AMZN,023135106,5123.00,18184549.57,3.14
7/20/2021,ARKX,NETFLIX INC,NFLX,64110L106,30372.00,16166408.16,2.79
7/20/2021,ARKX,BOEING CO/THE,BA,097023105,74056.00,15328851.44,2.65
7/20/2021,ARKX,UIPATH INC - CLASS A,PATH,90364P105,233134.00,14027672.78,2.42
7/20/2021,ARKX,MEITUAN-CLASS B,3690,BGJW376,386272.00,13729211.08,2.37
7/20/2021,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,848574109,346164.00,13507319.28,2.33
7/20/2021,ARKX,UNITY SOFTWARE INC,U,91332U101,122036.00,11987596.28,2.07
7/20/2021,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,G7483N129,1190925.00,11861613.00,2.05
7/20/2021,ARKX,NVIDIA CORP,NVDA,67066G104,15313.00,11502972.47,1.99
7/20/2021,ARKX,TERADYNE INC,TER,880770102,87180.00,10466830.80,1.81
7/20/2021,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,49646.00,10371545.86,1.79
7/20/2021,ARKX,AEROVIRONMENT INC,AVAV,008073108,101219.00,9523695.71,1.64
7/20/2021,ARKX,DEERE & CO,DE,244199105,27096.00,9075805.20,1.57
7/20/2021,ARKX,AIRBUS SE,AIR,4012250,69618.00,8506886.45,1.47
7/20/2021,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,63838.00,7913996.86,1.37
7/20/2021,ARKX,BLADE AIR MOBILITY INC,BLDE,092667104,973420.00,7076763.40,1.22
7/20/2021,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,693861.00,6883101.12,1.19
7/20/2021,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,31092.00,6860760.72,1.18
7/20/2021,ARKX,SYNOPSYS INC,SNPS,871607107,24534.00,6734092.32,1.16
7/20/2021,ARKX,GARMIN LTD,GRMN U,B3Z5T14,44236.00,6530560.68,1.13
7/20/2021,ARKX,ANSYS INC,ANSS,03662Q105,17882.00,6141930.54,1.06
7/20/2021,ARKX,HEICO CORP,HEI,422806109,44790.00,5861219.40,1.01
7/20/2021,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,75287.00,5267831.39,0.91
7/20/2021,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,12260.00,5152387.60,0.89
7/20/2021,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,396460.00,3924954.00,0.68
7/20/2021,ARKX,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,2314524.68,2314524.68,0.40
7/20/2021,ARKX,JD.COM INC-ADR,JD,47215P106,7989.00,592943.58,0.10
7/20/2021,ARKX,RAVEN INDUSTRIES INC,RAVN,754212108,2162.00,123601.54,0.02
