FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,05/28/2021,Buy,4689JP,J9894K105,Z HOLDINGS CORP,2581896,0.3384
ARKF,05/28/2021,Buy,KSPILI,48581R205,KASPI.KZ JSC,4231,0.0105
ARKF,05/28/2021,Sell,6060HK,Y989DF109,ZHONGAN ONLINE P&C INSURANCE CO LTD,847475,0.1202
ARKG,05/28/2021,Buy,CDXS,192005106,CODEXIS INC,22500,0.0056
ARKG,05/28/2021,Buy,CMIIU,125842203,CM LIFE SCIENCES II INC,1628,0.0003
ARKG,05/28/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,10704,0.0042
ARKG,05/28/2021,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,30000,0.0032
ARKK,05/28/2021,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,7964,0.0125
ARKK,05/28/2021,Buy,SHOP,82509L107,SHOPIFY INC,3019,0.0178
ARKK,05/28/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,103200,0.0544
ARKK,05/28/2021,Sell,HUYA,44852D108,HUYA INC,700000,0.0505
ARKQ,05/28/2021,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,26523,0.0091
ARKW,05/28/2021,Buy,VUZI,92921W300,VUZIX CORP,773400,0.2531
ARKW,05/28/2021,Sell,PDD,722304102,PINDUODUO INC,15000,0.0338
