FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-07-21,Buy,COIN,19260Q107,COINBASE GLOBAL INC,76562,0.0784
ARKK,2021-07-21,Buy,U,91332U101,UNITY SOFTWARE INC,67479,0.0305
ARKK,2021-07-21,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,116860,0.1808
ARKK,2021-07-21,Buy,PATH,90364P105,UIPATH INC,438669,0.1212
ARKK,2021-07-21,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,101948,0.0141
ARKK,2021-07-21,Buy,FATE,31189P102,FATE THERAPEUTICS INC,38816,0.0142
ARKK,2021-07-21,Buy,DKNG,26142R104,DRAFTKINGS INC,486875,0.1042
ARKK,2021-07-21,Sell,NVS,66987V109,NOVARTIS AG,10000,0.004
ARKK,2021-07-21,Sell,SHOP,82509L107,SHOPIFY INC,2000,0.0138
ARKK,2021-07-21,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,55000,0.0169
ARKK,2021-07-21,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,204,0.0001
ARKK,2021-07-21,Sell,PSTG,74624M102,PURE STORAGE INC,220000,0.0191
