FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-06-07,Buy,CRSP,H17182108,CRISPR THERAPEUTICS AG,2417,0.0013
ARKK,2021-06-07,Buy,SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,60383,0.0696
ARKK,2021-06-07,Buy,PD,69553P100,PAGERDUTY INC,20,0
ARKK,2021-06-07,Buy,PATH,90364P105,UIPATH INC,16538,0.0057
ARKK,2021-06-07,Buy,U,91332U101,UNITY SOFTWARE INC,12629,0.0057
ARKK,2021-06-07,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,500,0
ARKK,2021-06-07,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,2395,0.0013
ARKK,2021-06-07,Sell,HUYA,44852D108,HUYA INC,877347,0.0616
ARKK,2021-06-07,Sell,DOCU,256163106,DOCUSIGN INC,107900,0.1232
ARKK,2021-06-07,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,5000,0.0001
