FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-09-14,Buy,CRSP,H17182108,CRISPR THERAPEUTICS AG,14500,0.01
ARKK,2021-09-14,Buy,VCYT,92337F107,VERACYTE INC,60000,0.01
ARKK,2021-09-14,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,618151,0.07
ARKK,2021-09-14,Buy,PD,69553P100,PAGERDUTY INC,315567,0.07
ARKK,2021-09-14,Buy,NVTA,46185L103,INVITAE CORP,242119,0.03
ARKK,2021-09-14,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,186149,0.25
ARKK,2021-09-14,Sell,NTDOY,654445303,NINTENDO CO LTD,225842,0.07
ARKK,2021-09-14,Sell,NSTG,63009R109,NANOSTRING TECHNOLOGIES INC,30626,0.01
ARKK,2021-09-14,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,275500,0.03
ARKK,2021-09-14,Sell,TRMB,896239100,TRIMBLE INC,114652,0.05
ARKK,2021-09-14,Sell,TSLA,88160R101,TESLA INC,70369,0.25
ARKK,2021-09-14,Sell,EDIT,28106W103,EDITAS MEDICINE INC,13648,0
