FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-08-20,Buy,AVAV,008073108,AEROVIRONMENT INC,10588,0.04
ARKQ,2021-08-20,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,22603,0.0063
ARKQ,2021-08-20,Buy,KMTUY,500458401,KOMATSU LTD,28711,0.0264
ARKQ,2021-08-20,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,116408,0.0365
ARKQ,2021-08-20,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,294500,0.2694
ARKQ,2021-08-20,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,11547,0.0044
ARKQ,2021-08-20,Sell,BIDU,056752108,BAIDU INC,84975,0.4468
ARKQ,2021-08-20,Sell,XONE,302104104,EXONE CO/THE,91224,0.0812
