FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,06/18/2021,Buy,JD,47215P106,JD.COM INC,87900,0.1683
ARKF,06/18/2021,Sell,TCSLI,87238U203,TCS GROUP HOLDING PLC,24665,0.0498
ARKG,06/18/2021,Buy,QSI,74765K105,QUANTUM-SI INC,8568,0.0008
ARKG,06/18/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,12447,0.0006
ARKQ,06/18/2021,Buy,BLDE,92667104,BLADE AIR MOBILITY INC,143109,0.0558
ARKQ,06/18/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,25935,0.0234
ARKQ,06/18/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,2153,0.0007
ARKW,06/18/2021,Buy,SPLK,848637104,SPLUNK INC,182801,0.4117
ARKW,06/18/2021,Sell,NFLX,64110L106,NETFLIX INC,34135,0.3016
ARKW,06/18/2021,Sell,PSTG,74624M102,PURE STORAGE INC,479024,0.1595
