FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-07-29,Buy,SMFR,81663L101,SEMA4 HOLDINGS CORP,32636,0.0042
ARKG,2021-07-29,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,8747,0.0033
ARKG,2021-07-29,Buy,QSI,74765K105,QUANTUM-SI INC,300000,0.0381
ARKG,2021-07-29,Buy,FATE,31189P102,FATE THERAPEUTICS INC,69851,0.0689
ARKG,2021-07-29,Buy,EXAS,30063P105,EXACT SCIENCES CORP,81371,0.1036
ARKG,2021-07-29,Sell,PSTG,74624M102,PURE STORAGE INC,800000,0.1801
ARKG,2021-07-29,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,698,0
ARKG,2021-07-29,Sell,RHHBY,771195104,ROCHE HOLDING AG,75637,0.0414
ARKG,2021-07-29,Sell,SEER,81578P106,SEER INC,5400,0.0021
ARKG,2021-07-29,Sell,CLLS,15117K103,CELLECTIS SA,4909,0.0008
