FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-05-06,Buy,Z,98954M200,ZILLOW GROUP INC,171630,0.5089
ARKF,2021-05-06,Buy,PATH,90364P105,UIPATH INC,142701,0.2532
ARKF,2021-05-06,Buy,MELI,58733R102,MERCADOLIBRE INC,13039,0.496
ARKF,2021-05-06,Buy,JD,47215P106,JD.COM INC,135542,0.2697
ARKF,2021-05-06,Buy,BILL,090043100,BILL.COM HOLDINGS INC,113690,0.3847
ARKF,2021-05-06,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,82854,0.2455
ARKF,2021-05-06,Sell,HDB,40415F101,HDFC BANK LTD,265675,0.4874
ARKF,2021-05-06,Sell,MKTX,57060D108,MARKETAXESS HOLDINGS INC,31552,0.3607
ARKF,2021-05-06,Sell,SI,82837P408,SILVERGATE CAPITAL CORP,96600,0.2396
ARKF,2021-05-06,Sell,AAPL,037833100,APPLE INC,298505,1.004
