FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-07-14,Buy,VERV,92539P101,VERVE THERAPEUTICS INC,80425,0.0452
ARKG,2021-07-14,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,99674,0.0308
ARKG,2021-07-14,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,201765,0.0736
ARKG,2021-07-14,Buy,QSI,74765K105,QUANTUM-SI INC,182566,0.024
ARKG,2021-07-14,Buy,PATH,90364P105,UIPATH INC,85836,0.0611
ARKG,2021-07-14,Buy,FATE,31189P102,FATE THERAPEUTICS INC,70126,0.0602
ARKG,2021-07-14,Buy,EXAS,30063P105,EXACT SCIENCES CORP,82938,0.1044
ARKG,2021-07-14,Sell,NVS,66987V109,NOVARTIS AG,85913,0.088
ARKG,2021-07-14,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,88392,0.0236
ARKG,2021-07-14,Sell,PSTG,74624M102,PURE STORAGE INC,872754,0.1785
ARKG,2021-07-14,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,1146,0.0009
ARKG,2021-07-14,Sell,VEEV,922475108,VEEVA SYSTEMS INC,22747,0.0801
ARKG,2021-07-14,Sell,CDNA,14167L103,CAREDX INC,13595,0.0123
