date,fund,company,ticker,cusip,market value($),weight(%)
02/15/2022,ARKK,TESLA INC,TSLA,88160R101,1018466843.52,8.34
02/15/2022,ARKK,ROKU INC,ROKU,77543R102,783182405.12,6.42
02/15/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,777505199.24,6.37
02/15/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,765472647.42,6.27
02/15/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,668351488.75,5.48
02/15/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,622415663.10,5.10
02/15/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,593725301.54,4.86
02/15/2022,ARKK,TWILIO INC - A,TWLO,90138F102,535506399.04,4.39
02/15/2022,ARKK,BLOCK INC,SQ,852234103,532993139.32,4.37
02/15/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,520992813.60,4.27
02/15/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,510613372.17,4.18
02/15/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,486836006.70,3.99
02/15/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,406406753.35,3.33
02/15/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,355698639.27,2.91
02/15/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,344029954.55,2.82
02/15/2022,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,321330057.36,2.63
02/15/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,307106541.60,2.52
02/15/2022,ARKK,PAGERDUTY INC,PD,69553P100,245724902.00,2.01
02/15/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,230827627.65,1.89
02/15/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,214261663.53,1.76
02/15/2022,ARKK,INVITAE CORP,NVTA,46185L103,180892759.45,1.48
02/15/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,173655321.29,1.42
02/15/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,162720793.12,1.33
02/15/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,145467119.74,1.19
02/15/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,142041105.92,1.16
02/15/2022,ARKK,VERACYTE INC,VCYT,92337F107,137415354.98,1.13
02/15/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,135539278.10,1.11
02/15/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,129686745.42,1.06
02/15/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,119874468.06,0.98
02/15/2022,ARKK,STRATASYS LTD,SSYS,M85548101,118860274.00,0.97
02/15/2022,ARKK,TRIMBLE INC,TRMB,896239100,115190548.95,0.94
02/15/2022,ARKK,SEA LTD-ADR,SE,81141R100,114728923.17,0.94
02/15/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,76008735.55,0.62
02/15/2022,ARKK,2U INC,TWOU,90214J101,54366087.20,0.45
02/15/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,53743919.03,0.44
02/15/2022,ARKK,CERUS CORP,CERS,157085101,51151003.71,0.42
02/15/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,33870345.85,0.28
02/15/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,16992537.36,0.14
02/15/2022,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1334286.45,0.01
02/15/2022,ARKK,TWITTER INC,TWTR,90184L102,1482455.53,0.01
02/15/2022,ARKK,SKILLZ INC,SKLZ,83067L109,22398.74,0.00
