FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,07/30/2021,Buy,HOOD,770700102,ROBINHOOD MARKETS INC,213484,0.1964
ARKF,07/30/2021,Buy,PINS,72352L106,PINTEREST INC,151929,0.2449
ARKF,07/30/2021,Sell,BEKE,482497104,KE HOLDINGS INC,300,0.0002
ARKF,07/30/2021,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,136096,0.4382
ARKF,07/30/2021,Sell,SCHW,808513105,CHARLES SCHWAB CORP/THE,16000,0.0292
ARKG,07/30/2021,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,35124,0.0106
ARKG,07/30/2021,Buy,FATE,31189P102,FATE THERAPEUTICS INC,77889,0.0754
ARKG,07/30/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,79839,0.1003
ARKG,07/30/2021,Buy,SMFR,81663L101,SEMA4 HOLDINGS CORP,91626,0.0119
ARKG,07/30/2021,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,11025,0.0042
ARKG,07/30/2021,Sell,SEER,81578P106,SEER INC,13188,0.0049
ARKG,07/30/2021,Sell,RHHBY,771195104,ROCHE HOLDING AG,60366,0.0335
ARKG,07/30/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,2000,0.0001
ARKG,07/30/2021,Sell,PSTG,74624M102,PURE STORAGE INC,408556,0.0915
ARKG,07/30/2021,Sell,CLLS,15117K103,CELLECTIS SA,4400,0.0007
ARKK,07/30/2021,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,263353,0.037
ARKK,07/30/2021,Buy,HOOD,770700102,ROBINHOOD MARKETS INC,1287788,0.2015
ARKK,07/30/2021,Buy,EXAS,30063P105,EXACT SCIENCES CORP,69673,0.0342
ARKK,07/30/2021,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,80161,0.0324
ARKK,07/30/2021,Sell,DOCU,256163106,DOCUSIGN INC,34513,0.0455
ARKK,07/30/2021,Sell,TSLA,88160R101,TESLA INC,63643,0.1924
ARKK,07/30/2021,Sell,NTDOY,654445303,NINTENDO CO LTD,62900,0.0178
ARKK,07/30/2021,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,487221,0.0153
ARKK,07/30/2021,Sell,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,202666,0.0199
ARKK,07/30/2021,Sell,BEKE,482497104,KE HOLDINGS INC,110,0
ARKQ,07/30/2021,Buy,AVAV,8073108,AEROVIRONMENT INC,14597,0.0521
ARKQ,07/30/2021,Buy,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,126690,0.1896
ARKQ,07/30/2021,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,82132,0.031
ARKQ,07/30/2021,Buy,PATH,90364P105,UIPATH INC,404734,0.8941
ARKQ,07/30/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,348469,0.7534
ARKQ,07/30/2021,Sell,PCAR,693718108,PACCAR INC,38318,0.1127
ARKQ,07/30/2021,Sell,BZ,48553T106,KANZHUN LTD,2273,0.0028
ARKQ,07/30/2021,Sell,BYDDY,05606L100,BYD CO LTD,52115,0.1129
ARKW,07/30/2021,Buy,VUZI,92921W300,VUZIX CORP,116464,0.0293
ARKW,07/30/2021,Buy,PATH,90364P105,UIPATH INC,171796,0.1841
ARKW,07/30/2021,Buy,KVSB,482505104,KHOSLA VENTURES ACQUISITION CO II,198000,0.0354
ARKW,07/30/2021,Buy,HOOD,770700102,ROBINHOOD MARKETS INC,353630,0.2051
ARKW,07/30/2021,Sell,JD,47215P106,JD.COM INC,2011,0.0024
ARKW,07/30/2021,Sell,BZ,48553T106,KANZHUN LTD,1971,0.0012
ARKW,07/30/2021,Sell,TCEHY,88032Q109,TENCENT HOLDINGS LTD,2157,0.0022
ARKW,07/30/2021,Sell,SQ,852234103,SQUARE INC,46268,0.1969
ARKW,07/30/2021,Sell,SKLZ,83067L109,SKILLZ INC,87511,0.0205
ARKW,07/30/2021,Sell,PDD,722304102,PINDUODUO INC,506,0.0008
ARKW,07/30/2021,Sell,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,35,0
ARKX,07/30/2021,Buy,AVAV,8073108,AEROVIRONMENT INC,2269,0.0373
ARKX,07/30/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,50,0.0005
