FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKK,2021-05-10,Buy,BEAM,07373V105,BEAM THERAPEUTICS INC,455388,0.1484
ARKK,2021-05-10,Buy,TWLO,90138F102,TWILIO INC,107013,0.1563
ARKK,2021-05-10,Buy,TSP,90089L108,TUSIMPLE HOLDINGS INC,112917,0.021
ARKK,2021-05-10,Buy,TER,880770102,TERADYNE INC,417298,0.2612
ARKK,2021-05-10,Buy,PLTR,69608A108,PALANTIR TECHNOLOGIES INC,1070331,0.0995
ARKK,2021-05-10,Buy,PATH,90364P105,UIPATH INC,112173,0.0365
ARKK,2021-05-10,Buy,TXG,88025U109,10X GENOMICS INC,154988,0.1058
ARKK,2021-05-10,Buy,FATE,31189P102,FATE THERAPEUTICS INC,204170,0.0775
ARKK,2021-05-10,Buy,DKNG,26142R104,DRAFTKINGS INC,669101,0.1511
ARKK,2021-05-10,Buy,BLI,084310101,BERKELEY LIGHTS INC,189702,0.0449
ARKK,2021-05-10,Sell,BEKE,482497104,KE HOLDINGS INC,1203800,0.2758
ARKK,2021-05-10,Sell,BIDU,056752108,BAIDU INC,355375,0.3281
ARKK,2021-05-10,Sell,TREE,52603B107,LENDINGTREE INC,52004,0.0452
ARKK,2021-05-10,Sell,SNPS,871607107,SYNOPSYS INC,148000,0.175
ARKK,2021-05-10,Sell,REGN,75886F107,REGENERON PHARMACEUTICALS INC,40108,0.1014
ARKK,2021-05-10,Sell,NTDOY,654445303,NINTENDO CO LTD,136400,0.0484
ARKK,2021-05-10,Sell,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,254712,0.147
ARKK,2021-05-10,Sell,HUYA,44852D108,HUYA INC,261500,0.0205
