FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-09-21,Buy,CND,206071102,CONCORD ACQUISITION CORP,64000,0.0121
ARKW,2021-09-21,Buy,TDOC,87918A105,TELADOC HEALTH INC,98667,0.2557
ARKW,2021-09-21,Buy,VUZI,92921W300,VUZIX CORP,77401,0.016
ARKW,2021-09-21,Buy,PATH,90364P105,UIPATH INC,256835,0.2505
ARKW,2021-09-21,Buy,HOOD,770700102,ROBINHOOD MARKETS INC,253601,0.1967
ARKW,2021-09-21,Buy,GENI,G3934V109,GENIUS SPORTS LTD,94736,0.0338
ARKW,2021-09-21,Buy,COIN,19260Q107,COINBASE GLOBAL INC,42915,0.1895
ARKW,2021-09-21,Sell,SHOP,82509L107,SHOPIFY INC,7531,0.2006
ARKW,2021-09-21,Sell,SQ,852234103,SQUARE INC,21827,0.1016
ARKW,2021-09-21,Sell,SE,81141R100,SEA LTD,52864,0.3237
