date,fund,company,ticker,cusip,market value($),weight(%)
10/12/2021,PRNT,EXONE CO/THE,XONE,302104104,24321155.88,5.34
10/12/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,21780557.80,4.78
10/12/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,19143856.68,4.20
10/12/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,18709326.44,4.11
10/12/2021,PRNT,MICROSOFT CORP,MSFT,594918104,18535901.54,4.07
10/12/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,18553765.89,4.07
10/12/2021,PRNT,CONFORMIS INC,CFMS,20717E101,18480590.42,4.06
10/12/2021,PRNT,HP INC,HPQ,40434L105,17970298.88,3.94
10/12/2021,PRNT,ANSYS INC,ANSS,03662Q105,17646304.91,3.87
10/12/2021,PRNT,TRIMBLE INC,TRMB,896239100,17616241.56,3.87
10/12/2021,PRNT,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,17555359.29,3.85
10/12/2021,PRNT,BICO GROUP AB,BICO,BKMFJ94,17062223.98,3.74
10/12/2021,PRNT,AUTODESK INC,ADSK,052769106,16813908.54,3.69
10/12/2021,PRNT,STRATASYS LTD,SSYS,M85548101,16634077.36,3.65
10/12/2021,PRNT,RENISHAW PLC,RSW,0732358,16292219.89,3.58
10/12/2021,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,15335935.81,3.37
10/12/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,15243368.85,3.35
10/12/2021,PRNT,PTC INC,PTC,69370C100,14945002.98,3.28
10/12/2021,PRNT,PROTO LABS INC,PRLB,743713109,14428046.78,3.17
10/12/2021,PRNT,XOMETRY INC-A,XMTR,98423F109,13678561.19,3.00
10/12/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,13363349.04,2.93
10/12/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,6001943.15,1.32
10/12/2021,PRNT,GENERAL ELECTRIC CO,GE,369604301,5791947.92,1.27
10/12/2021,PRNT,HEXAGON AB-B SHS,HEXAB S,BNZFHC1,5714500.27,1.25
10/12/2021,PRNT,SIEMENS AG-REG,SIE,5727973,5635857.46,1.24
10/12/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,5593801.20,1.23
10/12/2021,PRNT,AMETEK INC,AME,031100100,5563984.30,1.22
10/12/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,5577858.80,1.22
10/12/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,5368610.00,1.18
10/12/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,5353988.62,1.18
10/12/2021,PRNT,EXCO TECHNOLOGIES LTD,XTC,2325392,5324351.43,1.17
10/12/2021,PRNT,MICHELIN (CGDE),ML,4588364,5288490.46,1.16
10/12/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,5305096.54,1.16
10/12/2021,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,5237459.91,1.15
10/12/2021,PRNT,ARCONIC CORP,ARNC,03966V107,5252948.46,1.15
10/12/2021,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,4853548.44,1.07
10/12/2021,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,793566.29,0.17
10/12/2021,PRNT,HEXCEL CORP,HXL,428291108,567950.96,0.12
10/12/2021,PRNT,TORAY INDUSTRIES INC,3402,6897143,525526.93,0.12
10/12/2021,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,558457.20,0.12
10/12/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,535951.74,0.12
10/12/2021,PRNT,EASTMAN KODAK CO,KODK,277461406,492825.60,0.11
10/12/2021,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,494328.49,0.11
10/12/2021,PRNT,5N PLUS INC,VNP,B2B3VZ3,517423.25,0.11
10/12/2021,PRNT,SGL CARBON SE,SGL,4818351,493063.52,0.11
10/12/2021,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,489808.80,0.11
10/12/2021,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,469286.32,0.10
10/12/2021,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,465787.52,0.10
10/12/2021,PRNT,VOESTALPINE AG,VOE,4943402,463082.83,0.10
10/12/2021,PRNT,HENKEL AG & CO KGAA VOR-PREF,HEN3,5076705,468682.80,0.10
10/12/2021,PRNT,3M CO,MMM,88579Y101,461324.76,0.10
10/12/2021,PRNT,XEROX HOLDINGS CORP,XRX,98421M106,465191.10,0.10
10/12/2021,PRNT,SANDVIK AB,SAND,B1VQ252,468447.98,0.10
10/12/2021,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,473027.14,0.10
10/12/2021,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,428026.38,0.09
10/12/2021,PRNT,GREAT BRITISH POUND,,GBP,0.33,0.00
