date,fund,company,ticker,cusip,market value($),weight(%)
02/23/2022,ARKK,TESLA INC,TSLA,88160R101,970523502.33,8.98
02/23/2022,ARKK,TELADOC HEALTH INC,TDOC,87918A105,717542650.60,6.64
02/23/2022,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,711821424.38,6.59
02/23/2022,ARKK,ROKU INC,ROKU,77543R102,681255263.01,6.30
02/23/2022,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,605769069.96,5.60
02/23/2022,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,584323689.30,5.41
02/23/2022,ARKK,UNITY SOFTWARE INC,U,91332U101,531217404.30,4.91
02/23/2022,ARKK,UIPATH INC - CLASS A,PATH,90364P105,505625181.32,4.68
02/23/2022,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,476569534.17,4.41
02/23/2022,ARKK,TWILIO INC - A,TWLO,90138F102,464429625.43,4.30
02/23/2022,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,448851795.70,4.15
02/23/2022,ARKK,BLOCK INC,SQ,852234103,448873647.48,4.15
02/23/2022,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,391324315.90,3.62
02/23/2022,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,338190271.32,3.13
02/23/2022,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,281735056.56,2.61
02/23/2022,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,257468432.65,2.38
02/23/2022,ARKK,PAGERDUTY INC,PD,69553P100,227779300.84,2.11
02/23/2022,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,195355163.30,1.81
02/23/2022,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,195784378.92,1.81
02/23/2022,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,180758542.20,1.67
02/23/2022,ARKK,INVITAE CORP,NVTA,46185L103,155035676.96,1.43
02/23/2022,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,141912164.50,1.31
02/23/2022,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,135274860.42,1.25
02/23/2022,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,133414811.28,1.23
02/23/2022,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,122034402.48,1.13
02/23/2022,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,119522608.26,1.11
02/23/2022,ARKK,SEA LTD-ADR,SE,81141R100,116857745.76,1.08
02/23/2022,ARKK,VERACYTE INC,VCYT,92337F107,116090536.00,1.07
02/23/2022,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,113218749.02,1.05
02/23/2022,ARKK,STRATASYS LTD,SSYS,M85548101,112912443.71,1.04
02/23/2022,ARKK,TRIMBLE INC,TRMB,896239100,98584046.76,0.91
02/23/2022,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,72321098.38,0.67
02/23/2022,ARKK,2U INC,TWOU,90214J101,55721082.90,0.52
02/23/2022,ARKK,CERUS CORP,CERS,157085101,51604066.50,0.48
02/23/2022,ARKK,BERKELEY LIGHTS INC,BLI,084310101,30643685.64,0.28
02/23/2022,ARKK,COMPUGEN LTD,CGEN,M25722105,15829424.07,0.15
02/23/2022,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,1719107.76,0.02
02/23/2022,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,1053316.76,0.01
