FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,06/21/2021,Buy,BEKE,482497104,KE HOLDINGS INC,106114,0.1353
ARKF,06/21/2021,Buy,PDD,722304102,PINDUODUO INC,95137,0.3015
ARKF,06/21/2021,Sell,PINS,72352L106,PINTEREST INC,321235,0.5925
ARKF,06/21/2021,Sell,SNAP,83304A106,SNAP INC,360507,0.6
ARKG,06/21/2021,Buy,QSI,74765K105,QUANTUM-SI INC,59443,0.0065
ARKG,06/21/2021,Buy,PATH,90364P105,UIPATH INC,31059,0.0239
ARKG,06/21/2021,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,321,0
ARKQ,06/21/2021,Buy,BABA,01609W102,ALIBABA GROUP HOLDING LTD,27754,0.2033
ARKQ,06/21/2021,Buy,BLDE,92667104,BLADE AIR MOBILITY INC,122609,0.0479
ARKQ,06/21/2021,Buy,BZ,48553T106,KANZHUN LTD,198513,0.2512
ARKQ,06/21/2021,Buy,PATH,90364P105,UIPATH INC,38593,0.0915
ARKQ,06/21/2021,Buy,JD,47215P106,JD.COM INC,189091,0.4744
ARKQ,06/21/2021,Sell,RAVN,754212108,RAVEN INDUSTRIES INC,249071,0.4987
ARKQ,06/21/2021,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,73848,0.5071
ARKQ,06/21/2021,Sell,GLEO,G3770A102,GALILEO ACQUISITION CORP,3635,0.0013
ARKQ,06/21/2021,Sell,BYDDY,05606L100,BYD CO LTD,59300,0.1225
ARKW,06/21/2021,Buy,RBLX,771049103,ROBLOX CORP,181063,0.2547
ARKW,06/21/2021,Buy,SPLK,848637104,SPLUNK INC,40957,0.0916
ARKW,06/21/2021,Sell,PSTG,74624M102,PURE STORAGE INC,82180,0.0272
ARKW,06/21/2021,Sell,SE,81141R100,SEA LTD,51088,0.2509
