FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-09-13,Buy,ZM,98980L101,ZOOM VIDEO COMMUNICATIONS INC,47549,0.24
ARKW,2021-09-13,Buy,PD,69553P100,PAGERDUTY INC,15000,0.01
ARKW,2021-09-13,Buy,KVSB,482505104,KHOSLA VENTURES ACQUISITION CO II,373612,0.07
ARKW,2021-09-13,Buy,HOOD,770700102,ROBINHOOD MARKETS INC,153075,0.11
ARKW,2021-09-13,Buy,DIS,254687106,WALT DISNEY CO/THE,19300,0.06
ARKW,2021-09-13,Buy,COIN,19260Q107,COINBASE GLOBAL INC,57302,0.24
ARKW,2021-09-13,Buy,CND,206071102,CONCORD ACQUISITION CORP,50000,0.01
ARKW,2021-09-13,Sell,LC,52603A208,LENDINGCLUB CORP,95707,0.05
ARKW,2021-09-13,Sell,TTD,88339J105,TRADE DESK INC/THE,1100,0
ARKW,2021-09-13,Sell,U,91332U101,UNITY SOFTWARE INC,212788,0.49
ARKW,2021-09-13,Sell,ADYEY,00783V104,ADYEN NV,534912,0.29
