FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKW,2021-04-22,Buy,COIN,19260Q107,COINBASE GLOBAL INC,55374,0.2437
ARKW,2021-04-22,Buy,OKTA,679295105,OKTA INC,35112,0.1458
ARKW,2021-04-22,Buy,PDD,722304102,PINDUODUO INC,43593,0.084
ARKW,2021-04-22,Buy,TCEHY,88032Q109,TENCENT HOLDINGS LTD,98315,0.1182
ARKW,2021-04-22,Sell,DOCU,256163106,DOCUSIGN INC,43300,0.1431
ARKW,2021-04-22,Sell,HUBS,443573100,HUBSPOT INC,9420,0.0736
ARKW,2021-04-22,Sell,PSTG,74624M102,PURE STORAGE INC,53863,0.0166
ARKW,2021-04-22,Sell,PYPL,70450Y103,PAYPAL HOLDINGS INC,7200,0.028
ARKW,2021-04-22,Sell,SQ,852234103,SQUARE INC,68432,0.2489
