FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKQ,2021-08-30,Buy,ACIC,049284102,ATLAS CREST INVESTMENT CORP,860704,0.3113
ARKQ,2021-08-30,Buy,NNDM,63008G203,NANO DIMENSION LTD,534575,0.1178
ARKQ,2021-08-30,Buy,NIU,65481N100,NIU TECHNOLOGIES,25221,0.0235
ARKQ,2021-08-30,Buy,MKFG,57064N102,MARKFORGED HOLDING CORP,231575,0.0699
ARKQ,2021-08-30,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,50475,0.0452
ARKQ,2021-08-30,Buy,KMTUY,500458401,KOMATSU LTD,12100,0.0106
ARKQ,2021-08-30,Buy,DDD,88554D205,3D SYSTEMS CORP,138600,0.1518
ARKQ,2021-08-30,Buy,BLDE,092667104,BLADE AIR MOBILITY INC,30198,0.0094
ARKQ,2021-08-30,Buy,SPFR,G50740102,JAWS SPITFIRE ACQUISITION CORP,2100,0.0008
ARKQ,2021-08-30,Sell,ISRG,46120E602,INTUITIVE SURGICAL INC,1700,0.0651
ARKQ,2021-08-30,Sell,GOOG,02079K107,ALPHABET INC,4808,0.5062
ARKQ,2021-08-30,Sell,BABA,01609W102,ALIBABA GROUP HOLDING LTD,15089,0.0873
ARKQ,2021-08-30,Sell,NXPI,N6596X109,NXP SEMICONDUCTORS NV,13000,0.1066
