date,fund,company,ticker,cusip,market value($),weight(%)
12/15/2021,ARKK,TESLA INC,TSLA,88160R101,1306527727.82,8.14
12/15/2021,ARKK,ROKU INC,ROKU,77543R102,965134498.65,6.01
12/15/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,961071982.39,5.98
12/15/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,895613659.38,5.58
12/15/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,831922393.50,5.18
12/15/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,760430720.00,4.74
12/15/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,667041280.20,4.15
12/15/2021,ARKK,TWILIO INC - A,TWLO,90138F102,644274597.10,4.01
12/15/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,615209251.59,3.83
12/15/2021,ARKK,UIPATH INC - CLASS A,PATH,90364P105,581568805.44,3.62
12/15/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,582089858.20,3.62
12/15/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,570307316.06,3.55
12/15/2021,ARKK,BLOCK INC,SQ,852234103,568839210.72,3.54
12/15/2021,ARKK,TWITTER INC,TWTR,90184L102,463797841.90,2.89
12/15/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,464017002.24,2.89
12/15/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,448738288.35,2.79
12/15/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,445321139.48,2.77
12/15/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,339206301.18,2.11
12/15/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,298313027.48,1.86
12/15/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,279526886.40,1.74
12/15/2021,ARKK,INVITAE CORP,NVTA,46185L103,263898782.98,1.64
12/15/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,262912002.24,1.64
12/15/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,242156230.40,1.51
12/15/2021,ARKK,DOCUSIGN INC,DOCU,256163106,233379174.88,1.45
12/15/2021,ARKK,GINKGO BIOWORKS HOLDINGS INC,DNA,37611X100,226507037.00,1.41
12/15/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,225424199.20,1.40
12/15/2021,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,223587059.23,1.39
12/15/2021,ARKK,PAGERDUTY INC,PD,69553P100,222172951.65,1.38
12/15/2021,ARKK,TRIMBLE INC,TRMB,896239100,174055243.26,1.08
12/15/2021,ARKK,VERACYTE INC,VCYT,92337F107,168550484.85,1.05
12/15/2021,ARKK,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,145761638.54,0.91
12/15/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,142567965.76,0.89
12/15/2021,ARKK,SKILLZ INC,SKLZ,83067L109,132959662.29,0.83
12/15/2021,ARKK,2U INC,TWOU,90214J101,107218722.80,0.67
12/15/2021,ARKK,STRATASYS LTD,SSYS,M85548101,93265179.88,0.58
12/15/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,88319334.11,0.55
12/15/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,83898154.08,0.52
12/15/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,82673449.20,0.51
12/15/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,79312711.97,0.49
12/15/2021,ARKK,CERUS CORP,CERS,157085101,62143721.12,0.39
12/15/2021,ARKK,3D SYSTEMS CORP,DDD,88554D205,42393601.20,0.26
12/15/2021,ARKK,ROBLOX CORP -CLASS A,RBLX,771049103,39619006.89,0.25
12/15/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,21360609.87,0.13
12/15/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,6437205.66,0.04
