FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2021-07-22,Buy,VERV,92539P101,VERVE THERAPEUTICS INC,141100,0.0823
ARKG,2021-07-22,Buy,SGFY,82671G100,SIGNIFY HEALTH INC,19156,0.006
ARKG,2021-07-22,Buy,RPTX,760273102,REPARE THERAPEUTICS INC,400,0.0001
ARKG,2021-07-22,Buy,QSI,74765K105,QUANTUM-SI INC,804500,0.112
ARKG,2021-07-22,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,14067,0.0058
ARKG,2021-07-22,Buy,ACCD,00437E102,ACCOLADE INC,38663,0.0212
ARKG,2021-07-22,Sell,CSTL,14843C105,CASTLE BIOSCIENCES INC,4900,0.0037
ARKG,2021-07-22,Sell,PSTI,72940R300,PLURISTEM THERAPEUTICS INC,6625,0.0003
ARKG,2021-07-22,Sell,CLLS,15117K103,CELLECTIS SA,100,0
ARKG,2021-07-22,Sell,CDNA,14167L103,CAREDX INC,60010,0.0568
ARKG,2021-07-22,Sell,ABBV,00287Y109,ABBVIE INC,65211,0.0855
